Pais,NETW_2018,NETW_2019,NETW_2020,NETW_2021,NETW_2022,NETW_2023,NETW_2024,NETW_2025,PIB_2018,PIB_2019,PIB_2020,PIB_2021,PIB_2022,PIB_2023,PIB_2024,Pasivos_2018,Pasivos_2019,Pasivos_2020,Pasivos_2021,Pasivos_2022,Pasivos_2023,Pasivos_2024,Pasivos_2025
Latvia,-2726.25,-3121.15,-4549.65,-6380.425,-6318.725,-6559.075,-6874.125,-7059.45,23246.8,23403.8,22591.9,24160.3,24621.4,24389.6,24378.3,15255.125,16774.1625,19081.05,21371.65,22575.425,24243.6,26843.375,27974.1
Lithuania,-6214.675,-6384.0,-8066.125,-9782.15,-6223.9,-5800.325000000001,-6653.275,-7078.65,38414.4,40211.2,40228.4,42801.0,43856.1,44180.5,45519.2,18832.3125,21235.7375,25241.65,28381.1625,25942.75,27903.8375,31483.4875,34928.125
Luxembourg,30196.3,33376.2,32119.45,36819.7,38448.525,39152.425,42304.25,43166.95,50967.1,52368.4,52101.3,55711.7,55100.3,55155.1,55352.9,17293.3,18258.3625,20591.975,22953.425,22451.6375,24650.2875,25843.3625,25910.55
Malta,-3720.15,-3817.9,-4598.75,-5554.025,-5466.525,-5895.55,-6739.2,-7382.45,11402.7,11868.5,11458.2,12994.9,13317.6,14732.1,15733.9,7916.55,8380.3125,9319.525,10943.3875,10808.1125,11773.3375,13254.825,14138.9
Montenegro,,,,,,,,,3817.9,3985.7,3388.1,3830.1,4126.6,4393.9,4532.9,,,,,,,,
Netherlands,-267161.75,-254910.5,-264808.75,-281537.0,-250114.0,-238904.25,-236356.25,-228104.5,723669.6,740314.6,711679.6,756350.5,794222.8,789472.6,798006.8,569485.625,575104.5,619599.875,640800.375,600934.5,587669.125,611197.375,624867.0
North Macedonia,,,,,,,,,8579.5,8915.0,8497.0,8880.3,9125.3,9358.4,9638.6,,,,,,,,
Norway,1041091.375,1144426.975,1103240.7,1364256.15,1423665.975,1544913.65,1803756.5,1860944.1,370969.0,375137.7,370342.8,384818.4,397310.4,397597.0,405935.5,170056.8375,171974.3875,172185.7375,195790.8125,230843.75,214043.7375,249150.2875,250541.4
Poland,-192717.525,-193230.55,-218760.0,-221579.175,-192651.875,-238234.95,-309620.775,-346765.1,484989.4,507204.1,496879.7,531299.4,559221.6,560617.5,577595.3,341866.8125,355522.5375,399151.025,426252.8625,399273.025,464855.4625,568510.1875,653626.625
Portugal,-210006.0,-214044.05,-217327.25,-225761.425,-198435.075,-190325.55,-183923.85,-175753.8,186476.3,191596.4,175876.6,185653.2,198622.6,204779.8,209161.5,325683.475,334540.5625,347242.15,359430.425,340687.6375,341253.7,341253.7375,353241.45
Romania,-39530.8,-44918.5,-58914.6,-73547.875,-69984.225,-91626.275,-115263.05,-134084.90000000002,172596.0,179431.3,172975.3,182640.1,190288.5,194584.7,196367.1,93332.25,102557.2375,122114.425,142653.9,147815.7,182763.6375,223369.6125,245353.725
Serbia,,,,,,,,,36055.9,37768.6,37409.8,40383.5,41475.3,43029.8,44729.4,,,,,,,,
Slovakia,-37810.975,-40321.425,-44255.175,-48373.95,-41909.725,-43393.2,-50861.3,-55780.25,85000.9,86935.4,84687.7,89477.5,89964.8,91865.4,93646.4,71145.6875,73943.3125,85469.65,95747.6375,92044.7,100330.975,109268.15,116202.425
Slovenia,-11611.925,-13192.85,-17161.05,-17578.725,-13755.975,-13374.625,-13079.05,-11340.95,41583.7,43041.3,41283.0,44757.8,45952.1,47043.9,47858.4,40860.125,44015.925,51416.425,53458.787500000006,47357.6625,48128.2875,51300.45,54364.25
Spain,-959205.75,-1016761.75,-1098188.5,-1180341.0,-1131675.25,-1157588.5,-1217965.25,-1241420.0,1173863.3,1196884.8,1065944.8,1137183.4,1209625.6,1239392.8,1282216.9,1554275.75,1650858.125,1759308.5,1870117.25,1783756.75,1820307.125,1923175.625,1996203.5
Sweden,105613.875,120025.9,116502.525,152464.725,154778.9,149980.6,165126.0,171910.5,437536.9,448948.9,440267.2,463274.9,469091.0,468133.8,471972.8,293773.0375,292307.0125,314339.55,338414.175,322630.4125,299211.4,321488.1,343426.45
Switzerland,,,,,,,,,525280.3,531278.9,519900.3,548804.7,565510.7,569375.0,576790.1,,,,,,,,
Türkiye,,,,,,,,,948306.8,960650.2,977971.3,1093480.4,1152979.2,1211148.4,1251450.8,,,,,,,,
Ukraine,,,,,,,,,98896.6,102060.8,98230.6,101615.3,72392.2,76398.9,,,,,,,,,
United Kingdom,,,,,,,,,2168347.7,2198071.7,,,,,,,,,,,,,
