DATAFLOW,LAST UPDATE,freq,na_item,finpos,stk_flow,sector,sector2,co_nco,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Austria,2024-Q2,424955.3,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Austria,2024-Q3,441000.2,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Austria,2024-Q4,435493.5,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Austria,2025-Q1,444180.5,p,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Austria,2025-Q2,447093.0,p,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2018-Q1,558094.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2018-Q2,558237.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2018-Q3,555653.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2018-Q4,553734.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2019-Q1,580772.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2019-Q2,592608.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2019-Q3,613564.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2019-Q4,585865.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2020-Q1,606370.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2020-Q2,644628.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2020-Q3,643889.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2020-Q4,650227.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2021-Q1,650887.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2021-Q2,654683.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2021-Q3,660155.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2021-Q4,657425.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2022-Q1,635032.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2022-Q2,606173.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2022-Q3,584056.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2022-Q4,578088.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2023-Q1,598070.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2023-Q2,600251.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2023-Q3,600401.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2023-Q4,628438.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2024-Q1,639822.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2024-Q2,636687.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2024-Q3,647466.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2024-Q4,644016.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2025-Q1,662786.0,p,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Belgium,2025-Q2,672646.0,p,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2018-Q1,17004.5,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2018-Q2,17083.8,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2018-Q3,17037.8,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2018-Q4,17356.8,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2019-Q1,16800.2,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2019-Q2,16895.4,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2019-Q3,17363.5,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2019-Q4,17943.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2020-Q1,17356.6,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2020-Q2,18077.7,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2020-Q3,20748.1,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2020-Q4,21440.3,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2021-Q1,20962.3,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2021-Q2,21538.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2021-Q3,21621.3,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2021-Q4,24943.5,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2022-Q1,23081.5,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2022-Q2,22600.4,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2022-Q3,24329.2,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2022-Q4,27542.7,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2023-Q1,27348.9,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2023-Q2,27402.9,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2023-Q3,26735.5,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2023-Q4,30438.8,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2024-Q1,30354.1,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2024-Q2,30330.9,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2024-Q3,33493.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2024-Q4,34322.2,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2025-Q1,33532.8,p,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Bulgaria,2025-Q2,36785.4,p,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Cyprus,2018-Q1,21691.8,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Cyprus,2018-Q2,24036.8,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Cyprus,2018-Q3,26451.5,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Cyprus,2018-Q4,24916.0,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Cyprus,2019-Q1,26267.3,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Cyprus,2019-Q2,27781.2,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Cyprus,2019-Q3,26203.9,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Cyprus,2019-Q4,25784.5,,
ESTAT:GOV_10Q_GGFA(1.0),21/10/25 11:00:00,Quarterly,Total financial assets/liabilities,Liabilities,Stock,General government,Total economy and rest of the world,Consolidated,Million euro,Cyprus,2020-Q1,26080.4,,
